測站代碼 測站名稱 震度值 震央距(Km) 垂直向(gal) 南北向(gal) 東西向(gal) TWD97經度 TWD97緯度
TCU049 僑孝國小 6 38.32 178.00 241.94 273.42 120.70 24.18
TCU052 光正國小 7 39.03 193.98 438.68 348.66 120.75 24.20
TCU053 四張犛國小 5 40.61 120.88 132.08 224.78 120.68 24.19
TCU 台中氣象站 5 35.62 118.67 187.10 201.46 120.68 24.15
TCU054 省三國小 5 37.00 132.96 190.38 143.14 120.68 24.16
TCU082 台中氣象站 5 35.62 129.26 182.50 221.08 120.68 24.15
TCU048 東海大學 5 42.36 97.32 175.62 116.94 120.61 24.18
TCU050 西屯國小 5 40.90 86.80 128.12 142.72 120.64 24.18
TCU057 協和國小 5 41.07 81.46 100.12 111.32 120.62 24.17
TCU100 永安國小 5 42.05 83.80 111.38 107.96 120.63 24.18
TCU051 忠明國小 5 37.90 109.70 230.70 156.84 120.66 24.16
TCU056 黎明國小 5 39.06 116.88 140.32 153.90 120.63 24.16
TCU133 大勇國小 6 35.58 240.28 260.44 281.96 120.66 24.13
TCU055 忠孝國小 6 35.26 153.30 208.16 256.90 120.67 24.14
TCU064 順天國小 5 58.48 82.36 113.52 109.10 120.62 24.34
TCU061 大忠國小 5 41.54 86.14 154.08 133.20 120.56 24.13
TCU067 健民國小 7 28.15 230.58 312.66 488.86 120.73 24.09
TCU060 大雅國小 5 44.73 86.32 101.08 196.84 120.65 24.22
TCU068 石岡國小 7 47.38 519.42 361.94 501.60 120.77 24.28
TCU103 內埔國小 5 51.75 142.30 149.30 126.50 120.71 24.31
TCU104 公明國小 5 48.66 90.32 86.92 101.38 120.61 24.24
TCU105 竹林國小 5 50.13 61.14 124.30 111.26 120.57 24.24
TCU088 德基 7 57.57 224.06 515.36 508.90 121.16 24.25
TCU137 白冷國小 7 38.40 324.38 403.56 521.64 120.93 24.18
TCU063 烏日國小 5 35.00 132.96 129.98 179.44 120.62 24.11
TCU136 神岡國小 5 48.09 111.68 170.84 166.82 120.66 24.26
TCU059 清水國小 5 52.75 64.48 161.92 156.66 120.57 24.27
TCU070 龍泉國小 5 47.43 76.20 157.38 248.58 120.55 24.20
TCU101 豐南國中 6 44.39 164.02 253.56 207.80 120.72 24.24
TCU102 豐東國中 6 44.93 173.28 168.98 298.36 120.73 24.25
TCU065 霧峰國小 7 26.13 257.80 563.22 774.42 120.70 24.06
TAP006 士林商職 5 154.61 31.16 68.30 98.94 121.52 25.09
TAP098 故宮博物院 4 156.87 26.32 54.56 62.08 121.55 25.10
TAP007 大龍國小 5 152.61 29.02 71.48 104.80 121.52 25.07
TAP012 日新國小 5 150.68 28.30 53.66 96.36 121.52 25.05
TAP020 幸安國小 4 149.87 32.24 66.10 59.76 121.53 25.04
TAP021 仁愛國小 5 150.60 36.18 99.24 98.22 121.55 25.04
TAP008 大佳國小 4 153.50 18.12 59.52 73.40 121.54 25.07
TAP013 長春國小 5 151.66 23.68 75.00 86.62 121.53 25.06
TAP 中央氣象局 4 148.96 14.36 41.63 58.86 121.51 25.04
TAP 中央氣象局 4 148.96 14.36 41.63 58.86 121.51 25.04
TAP100 中正紀念堂 2 5 148.86 23.32 84.94 中正區 121.52
TAP067 指南宮 4 147.16 35.52 42.40 36.48 121.59 24.98
TAP005 文林國小 5 155.68 23.74 81.40 126.86 121.51 25.11
TAP056 竹子湖氣象站 5 162.59 24.58 70.76 117.54 121.54 25.16
TAP066 鞍部氣象站 4 164.12 21.30 71.24 48.68 121.53 25.18
TAP094 桃源國小 5 157.71 28.60 82.84 63.16 121.48 25.14
TAP095 北投國小 5 157.77 46.78 91.46 138.24 121.50 25.13
TAP014 民生國小 5 152.60 28.24 69.08 106.82 121.55 25.06
TAP088 塯公國中 5 152.47 41.52 114.90 88.70 121.59 25.04
TAP089 吳興國小 4 150.36 23.26 39.42 42.28 121.57 25.03
TAP090 東新國小 5 155.11 28.78 87.74 135.96 121.60 25.06
