Origin Time:2018/02/06 23:50:42
Lon:121.69°E
Lat:24.14°N
Depth:10.0km
Mag:6.0
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   7.07,AZ=104.08,PGA(V)= 167.67,PGA(NS)= 482.36,PGA(EW)= 220.00
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  11.07,AZ= 51.90,PGA(V)= 151.57,PGA(NS)= 172.75,PGA(EW)= 195.12
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  19.20,AZ=198.03,PGA(V)=  83.92,PGA(NS)= 100.61,PGA(EW)= 106.83
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  20.13,AZ= 22.89,PGA(V)= 208.88,PGA(NS)= 434.33,PGA(EW)= 397.36
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  27.96,AZ= 18.79,PGA(V)= 239.21,PGA(NS)= 337.48,PGA(EW)= 280.12
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  28.09,AZ= 45.70,PGA(V)= 127.95,PGA(NS)= 330.13,PGA(EW)= 266.18
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  31.92,AZ=190.72,PGA(V)=  81.71,PGA(NS)= 428.46,PGA(EW)= 241.84
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  42.48,AZ= 90.12,PGA(V)=  31.52,PGA(NS)=  80.87,PGA(EW)= 117.84
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  44.55,AZ= 34.66,PGA(V)=  21.95,PGA(NS)=  14.66,PGA(EW)=  20.16
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  45.29,AZ=136.13,PGA(V)=  13.16,PGA(NS)=  74.47,PGA(EW)=  33.50
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  50.31,AZ= 16.82,PGA(V)=   8.37,PGA(NS)=   5.08,PGA(EW)=   6.46
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  54.34,AZ=198.39,PGA(V)=   6.58,PGA(NS)=  18.07,PGA(EW)=  11.07
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  54.98,AZ= 22.65,PGA(V)=   7.12,PGA(NS)=   4.55,PGA(EW)=   5.03
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  55.01,AZ=102.36,PGA(V)=  12.14,PGA(NS)=  32.00,PGA(EW)=  17.59
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  56.05,AZ=167.80,PGA(V)=  15.07,PGA(NS)=  43.13,PGA(EW)=  48.69
Stacode=NLD ,Staname=羅東  ,Stalon=121.77,Stalat=24.67,Dist=  59.36,AZ=188.08,PGA(V)=  24.58,PGA(NS)=  95.05,PGA(EW)=  42.71
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  63.75,AZ=179.30,PGA(V)=   6.52,PGA(NS)=   0.00,PGA(EW)=  22.01
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  67.37,AZ=150.83,PGA(V)=   7.18,PGA(NS)=  11.07,PGA(EW)=  10.35
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  69.09,AZ=185.53,PGA(V)=   7.90,PGA(NS)=  20.52,PGA(EW)=  24.35
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  75.94,AZ= 79.06,PGA(V)=   2.81,PGA(NS)=  11.37,PGA(EW)=   8.49
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  84.68,AZ= 70.03,PGA(V)=   6.34,PGA(NS)=  22.37,PGA(EW)=  20.40
Stacode=NHD ,Staname=新店  ,Stalon=121.55,Stalat=24.90,Dist=  85.28,AZ=170.62,PGA(V)=   3.41,PGA(NS)=   3.41,PGA(EW)=   4.37
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  87.54,AZ= 72.52,PGA(V)=   2.57,PGA(NS)=   4.97,PGA(EW)=   3.53
Stacode=NST ,Staname=獅頭山,Stalon=121.01,Stalat=24.63,Dist=  87.70,AZ=127.94,PGA(V)=   3.65,PGA(NS)=   5.20,PGA(EW)=   6.10
Stacode=NPL ,Staname=坪林  ,Stalon=121.71,Stalat=24.94,Dist=  88.15,AZ=181.43,PGA(V)=   2.03,PGA(NS)=   6.10,PGA(EW)=   3.41
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist=  88.30,AZ= 98.35,PGA(V)=   3.89,PGA(NS)=   8.67,PGA(EW)=   6.76
Stacode=NSD ,Staname=獅潭  ,Stalon=120.92,Stalat=24.54,Dist=  89.66,AZ=119.40,PGA(V)=   3.17,PGA(NS)=   6.82,PGA(EW)=   7.48
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  89.70,AZ=137.09,PGA(V)=   5.26,PGA(NS)=  10.23,PGA(EW)=  11.37
Stacode=TWA ,Staname=指南宮,Stalon=121.59,Stalat=24.98,Dist=  93.04,AZ=173.86,PGA(V)=   2.93,PGA(NS)=   3.53,PGA(EW)=   5.08
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  94.72,AZ= 14.93,PGA(V)=  12.92,PGA(NS)=  18.48,PGA(EW)=  15.37
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  95.10,AZ=103.73,PGA(V)=   4.13,PGA(NS)=   6.70,PGA(EW)=   6.58
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist=  97.98,AZ=165.10,PGA(V)=   6.40,PGA(NS)=  11.19,PGA(EW)=   9.63
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  98.00,AZ=135.94,PGA(V)=   4.43,PGA(NS)=   6.16,PGA(EW)=   7.72
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  98.22,AZ=107.84,PGA(V)=   3.41,PGA(NS)=   5.56,PGA(EW)=   3.59
